956 candidates (non-alias/mega/shadow/legendary/mythical/UB)
889 already protected by a blanket rule (Master or shared Great/Ultra default) via some reachable stage — no carve-out needed
67 genuinely need their own dedicated carve-out

-- species needing a dedicated carve-out --
  #26	raichu_alolan	(Raichu (Alolan))  via raichu_alolan: 1500=A1D15S15  2500=A8D15S14
  #38	ninetales	(Ninetales)  via ninetales: 1500=A0D15S15  2500=A9D15S15
  #38	ninetales_alolan	(Ninetales (Alolan))  via ninetales_alolan: 1500=A0D14S12  2500=A7D15S15
  #55	golduck	(Golduck)  via golduck: 1500=A0D10S14  2500=A0D13S13
  #59	arcanine_hisuian	(Arcanine (Hisuian))  via arcanine_hisuian: 1500=A0D14S10  2500=A0D10S15
  #99	kingler	(Kingler)  via kingler: 1500=A0D9S15  2500=A0D15S15
  #108	lickitung	(Lickitung)  via lickitung: 1500=A8D14S15  2500=n/a
  #110	weezing	(Weezing)  via weezing: 1500=A0D14S14  2500=A8D15S15
  #110	weezing_galarian	(Weezing (Galarian))  via weezing_galarian: 1500=A0D14S14  2500=A8D15S15
  #131	lapras	(Lapras)  via lapras: 1500=A0D10S14  2500=A0D15S15
  #139	omastar	(Omastar)  via omastar: 1500=A0D9S15  2500=A0D14S15
  #140	kabuto	(Kabuto)  via kabuto: 1500=A10D15S15  2500=n/a
  #141	kabutops	(Kabutops)  via kabutops: 1500=A0D14S10  2500=A0D14S15
  #154	meganium	(Meganium)  via meganium: 1500=A0D10S15  2500=A0D14S15
  #182	bellossom	(Bellossom)  via bellossom: 1500=A1D14S14  2500=A9D15S15
  #205	forretress	(Forretress)  via forretress: 1500=A0D9S15  2500=A9D15S15
  #221	piloswine	(Piloswine)  via piloswine: 1500=A0D15S10  2500=A5D15S12
  #222	corsola	(Corsola)  via corsola: 1500=A10D15S15  2500=n/a
  #232	donphan	(Donphan)  via donphan: 1500=A0D14S8  2500=A0D15S15
  #242	blissey	(Blissey)  via blissey: 1500=A0D15S3  2500=A0D15S14
  #272	ludicolo	(Ludicolo)  via ludicolo: 1500=A0D15S15  2500=A6D14S15
  #284	masquerain	(Masquerain)  via masquerain: 1500=A0D15S14  2500=A9D15S15
  #295	exploud	(Exploud)  via exploud: 1500=A0D15S10  2500=A4D15S14
  #321	wailord	(Wailord)  via wailord: 1500=A0D15S15  2500=A9D15S15
  #330	flygon	(Flygon)  via flygon: 1500=A0D15S9  2500=A0D13S15
